round,table_number,player_1,player_1_score,player_2,player_2_score
15,13,Russell Honeybun,AUS,563,-
15,14,Nattapat Nak-in,THA,422,-
15,15,Joshua Castellano,USA,455,-
15,16,Jakkrit Klaphajone,THA,341,-
15,17,Siu Hean Cheah,SGP,418,-
15,18,Jesse Day,USA,379,-
15,19,Natalie Zolty,GBR,435,-
15,20,Harshan Lamabadusuriya,GBR,435,-
15,21,Edward Okulicz,AUS,454,-
15,22,Sanhanat Klanying,THA,440,-
15,23,Jason Carney,GBR,453,-
15,24,Chollapat Itthi-Aree,THA,426,-
15,25,Euclid Hui,HKG,459,-
15,26,David Webb,GBR,425,-
15,27,Alexander Gozali,IDN,536,-
15,28,Samson Okosagah,USA,444,-
15,29,Lukeman Owolabi,IRL,401,-
15,30,Nuti Suri,THA,437,-
15,31,Orlet Bullock,VCT,389,-
15,32,Waseem Khatri,PAK,460,-
15,33,Ishika Shivalingaiah,IND,387,-
15,34,Nopparuj Tipkaew,THA,549,-
15,35,Ryan Wee,SGP,360,-
15,36,Chock Heng Kong,MYS,526,-
15,37,Doko Oluwatimilehin,NGA,472,-
15,38,Sujana Somasekar,IND,428,-
15,39,Siddharth Nithyanand,IND,362,-
15,40,Gerry Carter,THA,496,-
15,41,Norases Vesdapunt,THA,478,-
15,42,Charae Worapotpisut,THA,420,-
15,43,William Kang,MYS,366,-
15,44,Thitipol Barameemuang,THA,412,-
16,1,Jason Keller,USA,450,-
16,2,Dave Wiegand,USA,574,-
16,3,Komol Panyasophonlert,THA,380,-
16,4,Madhav Gopal Kamath,IND,510,-
16,5,Akshay Bhandarkar,IND,463,-
16,6,Darren Khoo,MYS,451,-
16,7,Andrew Fisher,AUS,494,-
16,8,Weibin Toh,SGP,379,-
16,9,Brian Po,HKG,486,-
16,10,Kian Boon Liew,SGP,407,-
16,11,Charles Carneiro,IND,460,-
16,12,Chaiyottha Manachaisit,THA,503,-
16,13,CharnwitS Sukhumrattanaporn,THA,536,-
16,14,Aditya Iyengar,IND,434,-
16,15,Nattapat Nak-in,THA,410,-
16,16,Ming Hui Hubert Wee,SGP,403,-
16,17,Piotr Andronowski,GBR,364,-
16,18,Soramet Mettaviharee,THA,491,-
16,19,Harshan Lamabadusuriya,GBR,469,-
16,20,Udayan Grover,IND,478,-
16,21,Jimoh Abdulmumin,NGA,366,-
16,22,Odette Rio,PHL,427,-
16,23,Edward Okulicz,AUS,358,-
16,24,Dean Saldanha,CAN,479,-
16,25,Euclid Hui,HKG,544,-
16,26,Rasheed Balogun,USA,374,-
16,27,Chollapat Itthi-Aree,THA,357,-
16,28,Lukeman Owolabi,IRL,344,-
16,29,Austin Shin,USA,394,-
16,30,Nopparuj Tipkaew,THA,465,-
16,31,Orlet Bullock,VCT,336,-
16,32,Anthony Ikolo,NGA,417,-
16,33,Samrath Singh Bhatia,IND,422,-
16,34,Natthakorn Siriwatthanaphongsa,THA,348,-
16,35,Marlon Prudencio,SGP,482,-
16,36,Sherwin Rodrigues,IND,376,-
16,37,Samuel Crispin,GBR,368,-
16,38,J Jeyaseelan,SGP,325,-
16,39,Chock Heng Kong,MYS,586,-
16,40,Norases Vesdapunt,THA,441,-
16,41,William Kang,MYS,462,-
16,42,Sanjoy Gupta,IND,451,-
16,43,Mike Baron,USA,367,-
16,44,Thitipol Barameemuang,THA,446,-
17,1,Josh Watt,AUS,414,-
17,2,Napat Vatjaranurathorn,THA,617,-
17,3,Darren Khoo,MYS,381,-
17,4,Jason Keller,USA,442,-
17,5,Puttapong Moonsarn,THA,312,-
17,6,Kian Boon Liew,SGP,393,-
17,7,Komol Panyasophonlert,THA,594,-
17,8,Ricky Purnomo,SGP,420,-
17,9,Nigel Richards,NZL,427,-
17,10,Nattapat Nak-in,THA,446,-
17,11,Piotr Andronowski,GBR,513,-
17,12,Joshua Castellano,USA,543,-
17,13,Cameron Farlow,AUS,491,-
17,14,Soramet Mettaviharee,THA,409,-
17,15,David Webb,GBR,327,-
17,16,Trevor Halsall,AUS,390,-
17,17,Edward Okulicz,AUS,296,-
17,18,Chollapat Itthi-Aree,THA,430,-
17,19,CharnwitS Sukhumrattanaporn,THA,442,-
17,20,Jason Carney,GBR,354,-
17,21,Jesse Day,USA,462,-
17,22,Vannitha Balasingam,MYS,352,-
17,23,Suyash Manchali,IND,463,-
17,24,Austin Shin,USA,588,-
17,25,Akegapun Erbprasartsook,THA,363,-
17,26,Udayan Grover,IND,403,-
17,27,Rasheed Balogun,USA,514,-
17,28,Ezinore George,NGA,405,-
17,29,Dean Saldanha,CAN,434,-
17,30,Rob Robinsky,USA,492,-
17,31,Michael Gongolo,KEN,506,-
17,32,Doko Oluwatimilehin,NGA,396,-
17,33,Sherwin Rodrigues,IND,495,-
17,34,Jack Moran,GBR,459,-
17,35,Nuti Suri,THA,483,-
17,36,Sujana Somasekar,IND,473,-
17,37,Ishika Shivalingaiah,IND,383,-
17,38,Norases Vesdapunt,THA,398,-
17,39,Samuel Crispin,GBR,423,-
17,40,Siddharth Nithyanand,IND,382,-
17,41,CharnwitI Iamudom,THA,398,-
17,42,Sanjoy Gupta,IND,401,-
17,43,Thomson Law,HKG,431,-
17,44,William Kang,MYS,465,-
18,1,Dave Wiegand,USA,555,-
18,2,Ben Schoenbrun,USA,408,-
18,3,David Eldar,AUS,491,-
18,4,Darren Khoo,MYS,438,-
18,5,Andrew Fisher,AUS,466,-
18,6,Joshua Castellano,USA,408,-
18,7,Cameron Farlow,AUS,480,-
18,8,Thacha Koowirat,THA,503,-
18,9,Irfan Siddiqui,BHR,531,-
18,10,Puttapong Moonsarn,THA,334,-
18,11,Soramet Mettaviharee,THA,462,-
18,12,Russell Honeybun,AUS,365,-
18,13,Jakkrit Klaphajone,THA,313,-
18,14,Panupol Sujjayakorn,THA,448,-
18,15,Sanhanat Klanying,THA,363,-
18,16,Piotr Andronowski,GBR,484,-
18,17,Rik Kennedy,GBR,287,-
18,18,Alexander Gozali,IDN,500,-
18,19,Suyash Manchali,IND,359,-
18,20,Jason Carney,GBR,439,-
18,21,Ming Hui Hubert Wee,SGP,442,-
18,22,Nopparuj Tipkaew,THA,413,-
18,23,Jesse Day,USA,476,-
18,24,Siu Hean Cheah,SGP,463,-
18,25,Aditya Iyengar,IND,477,-
18,26,Pesol Kosalakood,THA,456,-
18,27,Natalie Zolty,GBR,464,-
18,28,Samson Okosagah,USA,364,-
18,29,Sujana Somasekar,IND,428,-
18,30,Doko Oluwatimilehin,NGA,316,-
18,31,Chock Heng Kong,MYS,491,-
18,32,Jack Moran,GBR,518,-
18,33,Michael Gongolo,KEN,555,-
18,34,Samrath Singh Bhatia,IND,482,-
18,35,Sherwin Rodrigues,IND,458,-
18,36,Gerry Carter,THA,422,-
18,37,Charae Worapotpisut,THA,460,-
18,38,Anthony Ikolo,NGA,506,-
18,39,Ryan Wee,SGP,375,-
18,40,Apirat Choomai,THA,471,-
18,41,Siddharth Nithyanand,IND,303,-
18,42,J Jeyaseelan,SGP,356,-
18,43,Mike Baron,USA,437,-
18,44,Thomson Law,HKG,358,-
19,1,Madhav Gopal Kamath,IND,433,-
19,2,Jason Keller,USA,459,-
19,3,Napat Vatjaranurathorn,THA,399,-
19,4,Ben Schoenbrun,USA,366,-
19,5,Joshua Castellano,USA,499,-
19,6,Weibin Toh,SGP,484,-
19,7,Thacha Koowirat,THA,442,-
19,8,Komol Panyasophonlert,THA,540,-
19,9,Kian Boon Liew,SGP,346,-
19,10,Harshan Lamabadusuriya,GBR,359,-
19,11,Brian Po,HKG,471,-
19,12,Jakkrit Klaphajone,THA,442,-
19,13,Puttapong Moonsarn,THA,535,-
19,14,Irfan Siddiqui,BHR,522,-
19,15,Nigel Richards,NZL,520,-
19,16,Ming Hui Hubert Wee,SGP,488,-
19,17,Waseem Khatri,PAK,449,-
19,18,Ezinore George,NGA,347,-
19,19,Odette Rio,PHL,421,-
19,20,Euclid Hui,HKG,374,-
19,21,Nattapat Nak-in,THA,499,-
19,22,Udayan Grover,IND,391,-
19,23,Austin Shin,USA,478,-
19,24,Trevor Halsall,AUS,323,-
19,25,Rasheed Balogun,USA,487,-
19,26,David Webb,GBR,519,-
19,27,Rob Robinsky,USA,500,-
19,28,Dean Saldanha,CAN,430,-
19,29,Jason Carney,GBR,431,-
19,30,Jimoh Abdulmumin,NGA,547,-
19,31,Sujana Somasekar,IND,401,-
19,32,Lukeman Owolabi,IRL,445,-
19,33,Chock Heng Kong,MYS,366,-
19,34,Natthakorn Siriwatthanaphongsa,THA,477,-
19,35,Charae Worapotpisut,THA,406,-
19,36,Samrath Singh Bhatia,IND,381,-
19,37,Ishika Shivalingaiah,IND,347,-
19,38,Ryan Wee,SGP,755,-
19,39,Anthony Ikolo,NGA,362,-
19,40,CharnwitI Iamudom,THA,451,-
19,41,Siddharth Nithyanand,IND,360,-
19,42,Samuel Crispin,GBR,307,-
19,43,J Jeyaseelan,SGP,408,-
19,44,Thitipol Barameemuang,THA,365,-
20,1,Darren Khoo,MYS,478,-
20,2,Chaiyottha Manachaisit,THA,372,-
20,3,Andrew Fisher,AUS,513,-
20,4,Thacha Koowirat,THA,426,-
20,5,Akshay Bhandarkar,IND,450,-
20,6,Soramet Mettaviharee,THA,392,-
20,7,Panupol Sujjayakorn,THA,439,-
20,8,Komol Panyasophonlert,THA,493,-
20,9,Josh Watt,AUS,306,-
20,10,Brian Po,HKG,458,-
20,11,Alexander Gozali,IDN,423,-
20,12,Charles Carneiro,IND,389,-
20,13,CharnwitS Sukhumrattanaporn,THA,453,-
20,14,Puttapong Moonsarn,THA,408,-
20,15,Russell Honeybun,AUS,493,-
20,16,Euclid Hui,HKG,321,-
20,17,Nigel Richards,NZL,541,-
20,18,Waseem Khatri,PAK,400,-
20,19,Austin Shin,USA,387,-
20,20,Ezinore George,NGA,375,-
20,21,Jack Moran,GBR,335,-
20,22,Sanhanat Klanying,THA,419,-
20,23,Jesse Day,USA,520,-
20,24,Pesol Kosalakood,THA,494,-
20,25,Odette Rio,PHL,419,-
20,26,Rik Kennedy,GBR,412,-
20,27,Trevor Halsall,AUS,460,-
20,28,Natalie Zolty,GBR,415,-
20,29,Vannitha Balasingam,MYS,373,-
20,30,Rob Robinsky,USA,428,-
20,31,Edward Okulicz,AUS,325,-
20,32,Chock Heng Kong,MYS,433,-
20,33,Rasheed Balogun,USA,420,-
20,34,Samson Okosagah,USA,354,-
20,35,Sherwin Rodrigues,IND,100,-
20,35,Natthakorn Siriwatthanaphongsa,THA,-100,-
20,36,Akegapun Erbprasartsook,THA,449,-
20,37,Marlon Prudencio,SGP,494,-
20,38,Norases Vesdapunt,THA,427,-
20,39,Doko Oluwatimilehin,NGA,419,-
20,40,Orlet Bullock,VCT,317,-
20,41,Gerry Carter,THA,378,-
20,42,Apirat Choomai,THA,450,-
20,43,Samuel Crispin,GBR,411,-
20,44,Mike Baron,USA,278,-
21,1,Jason Keller,USA,480,-
21,2,Akshay Bhandarkar,IND,400,-
21,3,Panupol Sujjayakorn,THA,426,-
21,4,Chaiyottha Manachaisit,THA,471,-
21,5,Brian Po,HKG,611,-
21,6,Napat Vatjaranurathorn,THA,326,-
21,7,Andrew Fisher,AUS,486,-
21,8,Nigel Richards,NZL,558,-
21,9,Josh Watt,AUS,502,-
21,10,CharnwitS Sukhumrattanaporn,THA,428,-
21,11,Weibin Toh,SGP,360,-
21,12,Alexander Gozali,IDN,468,-
21,13,Cameron Farlow,AUS,509,-
21,14,Michael Gongolo,KEN,463,-
21,15,Jimoh Abdulmumin,NGA,425,-
21,16,Russell Honeybun,AUS,319,-
21,17,Jakkrit Klaphajone,THA,463,-
21,18,Suyash Manchali,IND,397,-
21,19,Dean Saldanha,CAN,325,-
21,20,Siu Hean Cheah,SGP,490,-
21,21,Chollapat Itthi-Aree,THA,380,-
21,22,Jesse Day,USA,-100,-
21,22,David Webb,GBR,100,-
21,23,Odette Rio,PHL,541,-
21,24,Nuti Suri,THA,452,-
21,25,Pesol Kosalakood,THA,486,-
21,26,Natalie Zolty,GBR,505,-
21,27,Ezinore George,NGA,416,-
21,28,Rob Robinsky,USA,512,-
21,29,Marlon Prudencio,SGP,368,-
21,30,Sanhanat Klanying,THA,488,-
21,31,Rik Kennedy,GBR,510,-
21,32,Jack Moran,GBR,-100,-
21,32,Samrath Singh Bhatia,IND,100,-
21,33,Lukeman Owolabi,IRL,375,-
21,34,Ishika Shivalingaiah,IND,402,-
21,35,William Kang,MYS,415,-
21,36,Charae Worapotpisut,THA,318,-
21,37,Edward Okulicz,AUS,516,-
21,38,Anthony Ikolo,NGA,318,-
21,39,Orlet Bullock,VCT,426,-
21,40,Sanjoy Gupta,IND,432,-
21,41,Gerry Carter,THA,344,-
21,42,Thitipol Barameemuang,THA,365,-
21,43,Thomson Law,HKG,461,-
21,44,Mike Baron,USA,310,-
22,1,David Eldar,AUS,606,-
22,2,Darren Khoo,MYS,556,-
22,3,Madhav Gopal Kamath,IND,537,-
22,4,Chaiyottha Manachaisit,THA,421,-
22,5,Thacha Koowirat,THA,450,-
22,6,Komol Panyasophonlert,THA,403,-
22,7,Irfan Siddiqui,BHR,380,-
22,8,Weibin Toh,SGP,456,-
22,9,Dave Wiegand,USA,416,-
22,10,Josh Watt,AUS,421,-
22,11,Aditya Iyengar,IND,430,-
22,12,Kian Boon Liew,SGP,524,-
22,13,Michael Gongolo,KEN,428,-
22,14,Piotr Andronowski,GBR,405,-
22,15,Ricky Purnomo,SGP,488,-
22,16,Puttapong Moonsarn,THA,486,-
22,17,Nattapat Nak-in,THA,343,-
22,18,Waseem Khatri,PAK,441,-
22,19,Charles Carneiro,IND,500,-
22,20,Siu Hean Cheah,SGP,413,-
22,21,Jason Carney,GBR,441,-
22,22,Nuti Suri,THA,428,-
22,23,Trevor Halsall,AUS,433,-
22,24,Dean Saldanha,CAN,512,-
22,25,Chollapat Itthi-Aree,THA,357,-
22,26,Sherwin Rodrigues,IND,502,-
22,27,Udayan Grover,IND,493,-
22,28,Ezinore George,NGA,422,-
22,29,Vannitha Balasingam,MYS,485,-
22,30,Sujana Somasekar,IND,468,-
22,31,Nopparuj Tipkaew,THA,420,-
22,32,Samrath Singh Bhatia,IND,477,-
22,33,Samson Okosagah,USA,456,-
22,34,William Kang,MYS,455,-
22,35,Akegapun Erbprasartsook,THA,422,-
22,36,Norases Vesdapunt,THA,354,-
22,37,Ryan Wee,SGP,519,-
22,38,Anthony Ikolo,NGA,444,-
22,39,Sanjoy Gupta,IND,525,-
22,40,Apirat Choomai,THA,421,-
22,41,Gerry Carter,THA,544,-
22,42,Siddharth Nithyanand,IND,463,-
22,43,Thomson Law,HKG,450,-
22,,Jesse Day,USA,-100,-
22,,Mike Baron,USA,100,-
23,1,Madhav Gopal Kamath,IND,563,-
23,2,Jason Keller,USA,500,-
23,3,Darren Khoo,MYS,421,-
23,4,Brian Po,HKG,338,-
23,5,Panupol Sujjayakorn,THA,485,-
23,6,Joshua Castellano,USA,400,-
23,7,Thacha Koowirat,THA,463,-
23,8,Aditya Iyengar,IND,387,-
23,9,Napat Vatjaranurathorn,THA,439,-
23,10,Ben Schoenbrun,USA,582,-
23,11,Jakkrit Klaphajone,THA,430,-
23,12,Weibin Toh,SGP,446,-
23,13,Jimoh Abdulmumin,NGA,432,-
23,14,Cameron Farlow,AUS,461,-
23,15,Ming Hui Hubert Wee,SGP,442,-
23,16,Ricky Purnomo,SGP,480,-
23,17,Harshan Lamabadusuriya,GBR,452,-
23,18,Siu Hean Cheah,SGP,493,-
23,19,Kian Boon Liew,SGP,430,-
23,20,Russell Honeybun,AUS,383,-
23,21,Nuti Suri,THA,484,-
23,22,Natalie Zolty,GBR,377,-
23,23,Jason Carney,GBR,438,-
23,24,Udayan Grover,IND,364,-
23,25,Rob Robinsky,USA,436,-
23,26,Sanhanat Klanying,THA,531,-
23,27,Doko Oluwatimilehin,NGA,510,-
23,28,Nopparuj Tipkaew,THA,418,-
23,29,Samson Okosagah,USA,491,-
23,30,Vannitha Balasingam,MYS,456,-
23,31,Akegapun Erbprasartsook,THA,454,-
23,32,Natthakorn Siriwatthanaphongsa,THA,454,-
23,33,Rik Kennedy,GBR,422,-
23,34,Jack Moran,GBR,565,-
23,35,Orlet Bullock,VCT,401,-
23,36,Lukeman Owolabi,IRL,450,-
23,37,William Kang,MYS,465,-
23,38,Norases Vesdapunt,THA,414,-
23,39,CharnwitI Iamudom,THA,373,-
23,40,Apirat Choomai,THA,449,-
23,41,Samuel Crispin,GBR,460,-
23,42,Thomson Law,HKG,445,-
23,43,J Jeyaseelan,SGP,434,-
23,,Jesse Day,USA,-100,-
23,,Siddharth Nithyanand,IND,100,-
24,1,Dave Wiegand,USA,438,-
24,2,Madhav Gopal Kamath,IND,460,-
24,3,Jason Keller,USA,461,-
24,4,Akshay Bhandarkar,IND,505,-
24,5,Joshua Castellano,USA,520,-
24,6,Panupol Sujjayakorn,THA,412,-
24,7,Soramet Mettaviharee,THA,414,-
24,8,Josh Watt,AUS,431,-
24,9,Nigel Richards,NZL,434,-
24,10,CharnwitS Sukhumrattanaporn,THA,457,-
24,11,Aditya Iyengar,IND,363,-
24,12,Irfan Siddiqui,BHR,354,-
24,13,Harshan Lamabadusuriya,GBR,592,-
24,14,Ben Schoenbrun,USA,478,-
24,15,Michael Gongolo,KEN,443,-
24,16,Piotr Andronowski,GBR,410,-
24,17,Ricky Purnomo,SGP,485,-
24,18,Suyash Manchali,IND,410,-
24,19,Austin Shin,USA,433,-
24,20,Charles Carneiro,IND,332,-
24,21,Udayan Grover,IND,372,-
24,22,David Webb,GBR,455,-
24,23,Samrath Singh Bhatia,IND,471,-
24,24,Sujana Somasekar,IND,479,-
24,25,Nattapat Nak-in,THA,499,-
24,26,Trevor Halsall,AUS,734,-
24,27,Euclid Hui,HKG,361,-
24,28,Sherwin Rodrigues,IND,408,-
24,29,Ezinore George,NGA,461,-
24,30,Ryan Wee,SGP,461,-
24,31,Chollapat Itthi-Aree,THA,456,-
24,32,Sanjoy Gupta,IND,393,-
24,33,Rik Kennedy,GBR,392,-
24,34,Marlon Prudencio,SGP,424,-
24,35,Charae Worapotpisut,THA,387,-
24,36,Edward Okulicz,AUS,485,-
24,37,Natthakorn Siriwatthanaphongsa,THA,392,-
24,38,Ishika Shivalingaiah,IND,465,-
24,39,Lukeman Owolabi,IRL,375,-
24,40,Rasheed Balogun,USA,460,-
24,41,Thomson Law,HKG,506,-
24,42,J Jeyaseelan,SGP,466,-
24,43,Mike Baron,USA,361,-
24,,Jesse Day,USA,-100,-
24,,Thitipol Barameemuang,THA,100,-
25,1,Chaiyottha Manachaisit,THA,463,-
25,2,Madhav Gopal Kamath,IND,426,-
25,3,David Eldar,AUS,514,-
25,4,Brian Po,HKG,288,-
25,5,Aditya Iyengar,IND,416,-
25,6,Akshay Bhandarkar,IND,463,-
25,7,Komol Panyasophonlert,THA,616,-
25,8,Harshan Lamabadusuriya,GBR,463,-
25,9,Napat Vatjaranurathorn,THA,501,-
25,10,CharnwitS Sukhumrattanaporn,THA,341,-
25,11,Nigel Richards,NZL,378,-
25,12,Cameron Farlow,AUS,419,-
25,13,Jimoh Abdulmumin,NGA,413,-
25,14,Soramet Mettaviharee,THA,418,-
25,15,Nuti Suri,THA,558,-
25,16,Siu Hean Cheah,SGP,398,-
25,17,Nattapat Nak-in,THA,449,-
25,18,Natalie Zolty,GBR,483,-
25,19,Waseem Khatri,PAK,314,-
25,20,Suyash Manchali,IND,453,-
25,21,Odette Rio,PHL,362,-
25,22,Sanhanat Klanying,THA,394,-
25,23,Chollapat Itthi-Aree,THA,592,-
25,24,Jakkrit Klaphajone,THA,368,-
25,25,Samrath Singh Bhatia,IND,398,-
25,26,Doko Oluwatimilehin,NGA,465,-
25,27,William Kang,MYS,555,-
25,28,Charles Carneiro,IND,447,-
25,29,Russell Honeybun,AUS,372,-
25,30,Ryan Wee,SGP,415,-
25,31,Pesol Kosalakood,THA,508,-
25,32,Anthony Ikolo,NGA,313,-
25,33,Euclid Hui,HKG,485,-
25,34,Marlon Prudencio,SGP,452,-
25,35,Rasheed Balogun,USA,394,-
25,36,Edward Okulicz,AUS,473,-
25,37,Sanjoy Gupta,IND,375,-
25,38,CharnwitI Iamudom,THA,476,-
25,39,Charae Worapotpisut,THA,416,-
25,40,Orlet Bullock,VCT,365,-
25,41,J Jeyaseelan,SGP,375,-
25,42,Thitipol Barameemuang,THA,413,-
25,43,Siddharth Nithyanand,IND,386,-
25,,Jesse Day,USA,-100,-
25,,Gerry Carter,THA,100,-
26,1,Dave Wiegand,USA,388,-
26,2,David Eldar,AUS,525,-
26,3,Chaiyottha Manachaisit,THA,352,-
26,4,Andrew Fisher,AUS,495,-
26,5,Brian Po,HKG,424,-
26,6,Akshay Bhandarkar,IND,576,-
26,7,Komol Panyasophonlert,THA,360,-
26,8,Jimoh Abdulmumin,NGA,378,-
26,9,Ricky Purnomo,SGP,490,-
26,10,Napat Vatjaranurathorn,THA,537,-
26,11,Kian Boon Liew,SGP,436,-
26,12,Alexander Gozali,IDN,442,-
26,13,Irfan Siddiqui,BHR,443,-
26,14,Weibin Toh,SGP,449,-
26,15,Michael Gongolo,KEN,459,-
26,16,Piotr Andronowski,GBR,301,-
26,17,Siu Hean Cheah,SGP,271,-
26,18,Suyash Manchali,IND,425,-
26,19,Samson Okosagah,USA,491,-
26,20,Ming Hui Hubert Wee,SGP,511,-
26,21,Sujana Somasekar,IND,506,-
26,22,Odette Rio,PHL,330,-
26,23,David Webb,GBR,455,-
26,24,Jakkrit Klaphajone,THA,467,-
26,25,Jason Carney,GBR,475,-
26,26,Austin Shin,USA,510,-
26,27,Doko Oluwatimilehin,NGA,400,-
26,28,Pesol Kosalakood,THA,471,-
26,29,Dean Saldanha,CAN,411,-
26,30,Ryan Wee,SGP,499,-
26,31,Rob Robinsky,USA,393,-
26,32,Jack Moran,GBR,576,-
26,33,Ishika Shivalingaiah,IND,365,-
26,34,Vannitha Balasingam,MYS,521,-
26,35,Natthakorn Siriwatthanaphongsa,THA,359,-
26,36,Rasheed Balogun,USA,543,-
26,37,Sanjoy Gupta,IND,490,-
26,38,CharnwitI Iamudom,THA,398,-
26,39,Chock Heng Kong,MYS,366,-
26,40,Apirat Choomai,THA,415,-
26,41,Thomson Law,HKG,401,-
26,42,Siddharth Nithyanand,IND,457,-
26,43,Gerry Carter,THA,492,-
26,,Jesse Day,USA,-100,-
26,,J Jeyaseelan,SGP,100,-
27,1,Darren Khoo,MYS,380,-
27,2,Dave Wiegand,USA,448,-
27,3,Joshua Castellano,USA,542,-
27,4,Jason Keller,USA,491,-
27,5,Andrew Fisher,AUS,410,-
27,6,Cameron Farlow,AUS,474,-
27,7,Panupol Sujjayakorn,THA,392,-
27,8,Napat Vatjaranurathorn,THA,491,-
27,9,Kian Boon Liew,SGP,416,-
27,10,Alexander Gozali,IDN,371,-
27,11,Ben Schoenbrun,USA,457,-
27,12,Michael Gongolo,KEN,529,-
27,13,Irfan Siddiqui,BHR,439,-
27,14,Puttapong Moonsarn,THA,320,-
27,15,Ricky Purnomo,SGP,417,-
27,16,Ming Hui Hubert Wee,SGP,371,-
27,17,Soramet Mettaviharee,THA,300,-
27,18,Sherwin Rodrigues,IND,543,-
27,19,David Webb,GBR,547,-
27,20,Samrath Singh Bhatia,IND,412,-
27,21,Nattapat Nak-in,THA,366,-
27,22,Waseem Khatri,PAK,439,-
27,23,William Kang,MYS,595,-
27,24,Akegapun Erbprasartsook,THA,537,-
27,25,Charles Carneiro,IND,484,-
27,26,Udayan Grover,IND,432,-
27,27,Sanhanat Klanying,THA,449,-
27,28,Odette Rio,PHL,491,-
27,29,Euclid Hui,HKG,430,-
27,30,Russell Honeybun,AUS,401,-
27,31,Natthakorn Siriwatthanaphongsa,THA,478,-
27,32,Nopparuj Tipkaew,THA,466,-
27,33,Anthony Ikolo,NGA,353,-
27,34,Edward Okulicz,AUS,415,-
27,35,Norases Vesdapunt,THA,412,-
27,36,Marlon Prudencio,SGP,552,-
27,37,Samuel Crispin,GBR,551,-
27,38,Lukeman Owolabi,IRL,425,-
27,39,Chock Heng Kong,MYS,452,-
27,40,Apirat Choomai,THA,546,-
27,41,Charae Worapotpisut,THA,420,-
27,42,Thitipol Barameemuang,THA,458,-
27,43,Orlet Bullock,VCT,519,-
27,,Jesse Day,USA,-100,-
27,,Thomson Law,HKG,100,-
28,1,Madhav Gopal Kamath,IND,307,-
28,2,Andrew Fisher,AUS,428,-
28,3,Thacha Koowirat,THA,419,-
28,4,David Eldar,AUS,425,-
28,5,Harshan Lamabadusuriya,GBR,497,-
28,6,Cameron Farlow,AUS,465,-
28,7,Darren Khoo,MYS,435,-
28,8,Kian Boon Liew,SGP,509,-
28,9,Panupol Sujjayakorn,THA,401,-
28,10,Nigel Richards,NZL,631,-
28,11,Nuti Suri,THA,477,-
28,12,Ming Hui Hubert Wee,SGP,590,-
28,13,Alexander Gozali,IDN,396,-
28,14,Josh Watt,AUS,414,-
28,15,Ben Schoenbrun,USA,504,-
28,16,Jimoh Abdulmumin,NGA,597,-
28,17,Piotr Andronowski,GBR,441,-
28,18,Natalie Zolty,GBR,442,-
28,19,Sherwin Rodrigues,IND,570,-
28,20,William Kang,MYS,413,-
28,21,Jason Carney,GBR,414,-
28,22,Chollapat Itthi-Aree,THA,454,-
28,23,David Webb,GBR,468,-
28,24,Weibin Toh,SGP,516,-
28,25,Sujana Somasekar,IND,426,-
28,26,Trevor Halsall,AUS,394,-
28,27,Waseem Khatri,PAK,453,-
28,28,Austin Shin,USA,493,-
28,29,Jack Moran,GBR,401,-
28,30,Doko Oluwatimilehin,NGA,377,-
28,31,Anthony Ikolo,NGA,361,-
28,32,Dean Saldanha,CAN,501,-
28,33,Rob Robinsky,USA,438,-
28,34,Norases Vesdapunt,THA,413,-
28,35,Nopparuj Tipkaew,THA,390,-
28,36,Russell Honeybun,AUS,363,-
28,37,Lukeman Owolabi,IRL,513,-
28,38,Ishika Shivalingaiah,IND,393,-
28,39,CharnwitI Iamudom,THA,526,-
28,40,J Jeyaseelan,SGP,453,-
28,41,Gerry Carter,THA,365,-
28,42,Siddharth Nithyanand,IND,361,-
28,43,Mike Baron,USA,283,-
28,,Jesse Day,USA,-100,-
28,,Chock Heng Kong,MYS,100,-
29,1,Thacha Koowirat,THA,614,-
29,2,Jason Keller,USA,416,-
29,3,Joshua Castellano,USA,491,-
29,4,Chaiyottha Manachaisit,THA,416,-
29,5,Aditya Iyengar,IND,481,-
29,6,Harshan Lamabadusuriya,GBR,430,-
29,7,Akshay Bhandarkar,IND,511,-
29,8,Komol Panyasophonlert,THA,444,-
29,9,Brian Po,HKG,440,-
29,10,Samson Okosagah,USA,425,-
29,11,Ben Schoenbrun,USA,530,-
29,12,Irfan Siddiqui,BHR,350,-
29,13,Ricky Purnomo,SGP,395,-
29,14,CharnwitS Sukhumrattanaporn,THA,402,-
29,15,Natalie Zolty,GBR,478,-
29,16,Soramet Mettaviharee,THA,459,-
29,17,Chollapat Itthi-Aree,THA,413,-
29,18,Nattapat Nak-in,THA,518,-
29,19,Samrath Singh Bhatia,IND,367,-
29,20,Jimoh Abdulmumin,NGA,439,-
29,21,Puttapong Moonsarn,THA,452,-
29,22,Waseem Khatri,PAK,505,-
29,23,Suyash Manchali,IND,389,-
29,24,Akegapun Erbprasartsook,THA,530,-
29,25,Sujana Somasekar,IND,465,-
29,26,Ezinore George,NGA,417,-
29,27,Jakkrit Klaphajone,THA,453,-
29,28,Jason Carney,GBR,358,-
29,29,Doko Oluwatimilehin,NGA,437,-
29,30,Trevor Halsall,AUS,477,-
29,31,Norases Vesdapunt,THA,462,-
29,32,Vannitha Balasingam,MYS,431,-
29,33,Nopparuj Tipkaew,THA,460,-
